"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","15445","Valid Login to Demoblaze app","chromium","2026-07-05","passed","2026-07-05","","Login.spec.js","",""
"","10841","Sign up for demo blaze site","chromium","2026-07-05","passed","2026-07-05","","Signup.spec.js","",""
"","9894","Unsuccessful Login due to invalid username","chromium","2026-07-05","passed","2026-07-05","","Login.spec.js","",""
"","27206","Place Order for Monitor and Checkout","chromium","2026-07-05","passed","2026-07-05","","Checkout.spec.js","",""
"","9349","Unsuccessful Login due to invalid credentials","chromium","2026-07-05","passed","2026-07-05","","Login.spec.js","",""
"","8319","To close the signup page after entering the credentials","chromium","2026-07-05","passed","2026-07-05","","Signup.spec.js","",""
"","13803","Successful Logout","chromium","2026-07-05","passed","2026-07-05","","Login.spec.js","",""
"","9077","Unsuccessful Login due to invalid password","chromium","2026-07-05","passed","2026-07-05","","Login.spec.js","",""
"","26867","Place Order for Phone and Checkout","chromium","2026-07-05","passed","2026-07-05","","Checkout.spec.js","",""
"","20468","To add Item Samsung Galaxy S6","chromium","2026-07-05","passed","2026-07-05","","AddToCart.spec.js","",""
